==== START logs for container kube-vip of pod kube-system/kube-vip-rv7cx ====
time="2021-12-11T06:24:33Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:36Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:39Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:42Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:45Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:48Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:51Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:54Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:57Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:01Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:04Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:07Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:10Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:13Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:16Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:19Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:22Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:25Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:28Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:31Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:34Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:37Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:40Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:43Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:46Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:49Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:52Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:55Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:25:58Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:01Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:04Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:07Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:11Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:14Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:17Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:20Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:23Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:26Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:29Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:32Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:35Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:38Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:41Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:44Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:47Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:50Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:53Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:56Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:26:59Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:02Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:05Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:08Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:11Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:14Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:17Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:21Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:24Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:27Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:30Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:33Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:36Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:39Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:42Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:45Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:48Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:51Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:54Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:27:57Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:00Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:03Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:06Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:09Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:12Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:15Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:18Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:21Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:24Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:27Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:31Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:34Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:37Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:40Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:43Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:46Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:49Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:52Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:55Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:28:58Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:01Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
